	epi_isl	submitting_lab	originating_lab
0	EPI567796	Who Collaborating Centre For Reference And Research On Influenza	Clinical Virology Unit, Cdim
1	EPI397385	Centers For Disease Control And Prevention	Indiana State Department Of Health Laboratories
2	EPI397351	Centers For Disease Control And Prevention	Ohio Department Of Health Laboratories
3	EPI103357	Other Database Import	U.s. Air Force School Of Aerospace Medicine
4	EPI160210	Other Database Import	Iowa State Hygienic Laboratory
5	EPI1447389	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
6	EPI35206	Other Database Import	Institute Of Environmental Science & Research
7	EPI1447632	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
8	EPI35244	Other Database Import	Institute Of Environmental Science & Research
9	EPI1447586	Who Collaborating Centre For Reference And Research On Influenza	Center For Disease Control
10	EPI545338	Other Database Import	Queensland Health Scientific Services
11	EPI1445593	Who Collaborating Centre For Reference And Research On Influenza	Victorian Infectious Diseases Reference Laboratory 
12	EPI185744	Centers For Disease Control And Prevention	Government Virus Unit
13	EPI293824	Who Chinese National Influenza Center	Who Chinese National Influenza Center
14	EPI293792	Who Chinese National Influenza Center	Who Chinese National Influenza Center
15	EPI269940	Who Collaborating Centre For Reference And Research On Influenza	Ministry Of Health, Singapore
16	EPI293816	Who Chinese National Influenza Center	Who Chinese National Influenza Center
17	EPI293832	Who Chinese National Influenza Center	Who Chinese National Influenza Center
18	EPI293808	Who Chinese National Influenza Center	Who Chinese National Influenza Center
19	EPI293872	Who Chinese National Influenza Center	Who Chinese National Influenza Center
20	EPI293864	Who Chinese National Influenza Center	Who Chinese National Influenza Center
21	EPI330537	Who Chinese National Influenza Center	Who Chinese National Influenza Center
22	EPI330553	Who Chinese National Influenza Center	Who Chinese National Influenza Center
23	EPI330761	Who Chinese National Influenza Center	Who Chinese National Influenza Center
24	EPI182941	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
25	EPI330785	Who Chinese National Influenza Center	Who Chinese National Influenza Center
26	EPI182939	Who Collaborating Centre For Reference And Research On Influenza	Research Institute Of Tropical Medicine
27	EPI234605	National Institute Of Infectious Diseases (niid)	Taiwan Cdc
28	EPI606080	Other Database Import	Taiwan Cdc
29	EPI293800	Who Chinese National Influenza Center	Who Chinese National Influenza Center
30	EPI238699	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control
31	EPI241147	Centers For Disease Control And Prevention	National Institute Of Virology
32	EPI1603059	Kenya Medical Research Institute	Kemri Wellcome Trust Research Programme Cgmrc
33	EPI331434	Who Collaborating Centre For Reference And Research On Influenza	Royal Hobart Hospital
34	EPI279177	Who Collaborating Centre For Reference And Research On Influenza	Institute Pasteur Du Cambodia
35	EPI293840	Who Chinese National Influenza Center	Who Chinese National Influenza Center
36	EPI278805	Centers For Disease Control And Prevention	U.s. Air Force School Of Aerospace Medicine
37	EPI367230	Other Database Import	Erasmus University Of Rotterdam
38	EPI295216	Centers For Disease Control And Prevention	Laboratorio De Virus Respiratorio
39	EPI302327	Centers For Disease Control And Prevention	Iowa State Hygienic Laboratory
40	EPI370074	Who Collaborating Centre For Reference And Research On Influenza	Austin Health
41	EPI351644	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control
42	EPI363019	Centers For Disease Control And Prevention	California Department Of Health Services
43	EPI371802	Centers For Disease Control And Prevention	New Mexico Department Of Health
44	EPI379585	Who Collaborating Centre For Reference And Research On Influenza	Austin Health
45	EPI379447	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
