	epi_isl	submitting_lab	originating_lab
46	EPI379592	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
47	EPI331283	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
48	EPI331665	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
49	EPI357622	Who Collaborating Centre For Reference And Research On Influenza	Papua New Guinea Institute Of Medical Research
50	EPI293888	Who Chinese National Influenza Center	Who Chinese National Influenza Center
51	EPI330521	Who Chinese National Influenza Center	Who Chinese National Influenza Center
52	EPI357669	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
53	EPI1602920	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
54	EPI1602912	Wellcome Trust	Kemri Wellcome Trust Research Programme Cgmrc
55	EPI379450	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
56	EPI394138	Who Collaborating Centre For Reference And Research On Influenza	Royal Hobart Hospital
57	EPI272062	Who Collaborating Centre For Reference And Research On Influenza	Victorian Infectious Diseases Reference Laboratory 
58	EPI295119	Centers For Disease Control And Prevention	Cdc Kenya
59	EPI1602971	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
60	EPI1604839	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
61	EPI1603003	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
62	EPI1603043	Kenya Medical Research Institute	Kemri Wellcome Trust Research Programme Cgmrc
63	EPI400069	Usamru K	Us Army Medical Research Unit   Kenya (usamru K), Geis Human Influenza Program
64	EPI400074	Usamru K	Us Army Medical Research Unit   Kenya (usamru K), Geis Human Influenza Program
65	EPI1602987	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
66	EPI1603051	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
67	EPI279171	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
68	EPI269980	Who Collaborating Centre For Reference And Research On Influenza	Ministry Of Health, Singapore
69	EPI331222	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
70	EPI363012	Centers For Disease Control And Prevention	Spokane Regional Health District
71	EPI393551	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
72	EPI377004	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
73	EPI376886	Who Collaborating Centre For Reference And Research On Influenza	Royal Hobart Hospital
74	EPI1602947	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
75	EPI367238	Other Database Import	Erasmus University Of Rotterdam
76	EPI545346	Other Database Import	Who Collaborating Centre For Reference And Research On Influenza
77	EPI335951	Centers For Disease Control And Prevention	Who Collaborating Centre For Reference And Research On Influenza
78	EPI370318	Who Collaborating Centre For Reference And Research On Influenza	Usamc Afrims Department Of Virology
79	EPI394149	Who Collaborating Centre For Reference And Research On Influenza	Canterbury Health Services
80	EPI394152	Who Collaborating Centre For Reference And Research On Influenza	Canterbury Health Services
81	EPI398424	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
82	EPI376894	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
83	EPI394116	Who Collaborating Centre For Reference And Research On Influenza	Royal Hobart Hospital
84	EPI398417	Centers For Disease Control And Prevention	Texas Department Of State Health Services Laboratory Services
85	EPI357660	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
86	EPI1604707	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
87	EPI404927	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
88	EPI450257	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
89	EPI506741	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
90	EPI565393	Centers For Disease Control And Prevention	"Instituto Nacional De Higiene ""rafael Rangel"""
91	EPI450524	Jiangsu Provincial Center For Disease Control & Prevention	Jiangsu Provincial Center For Disease Control And Prevention
92	EPI506749	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
93	EPI506765	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
94	EPI506877	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
95	EPI506757	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
96	EPI506781	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
97	EPI506693	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
98	EPI442814	Centers For Disease Control And Prevention	Maryland Department Of Health And Mental Hygiene
99	EPI529538	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
100	EPI506965	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
101	EPI526813	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science And Research
102	EPI529579	Who Collaborating Centre For Reference And Research On Influenza	Canberra Hospital
103	EPI543551	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Laboratório Central Do Estado Do Paraná   Lacen/pr
104	EPI543531	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Lacen/rs   Laboratório Central De Saúde Pública Do Rio Grande Do Sul
105	EPI548998	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
106	EPI548942	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
107	EPI477495	Who Collaborating Centre For Reference And Research On Influenza	Prince Of Wales Hospital
108	EPI492745	Centers For Disease Control And Prevention	Pennsylvania Department Of Health
109	EPI551669	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
110	EPI636288	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
111	EPI506733	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
112	EPI499303	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
113	EPI560471	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
114	EPI541175	Who Collaborating Centre For Reference And Research On Influenza	Fiji Centre For Communicable Disease Control
115	EPI564298	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
116	EPI418122	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
117	EPI506717	Hangzhou Center For Disease Control And Prevention	Hangzhou Center For Disease Control And Prevention
118	EPI477479	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
119	EPI584677	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
120	EPI560514	Centers For Disease Control And Prevention	Cdc Kenya
121	EPI515296	Swedish Institute For Infectious Disease Control	National Institute For Medical Research
122	EPI746864	Centers For Disease Control And Prevention	National Institute Of Health
123	EPI662474	Centers For Disease Control And Prevention	Departamento De Laboratorio De Salud Publica
124	EPI814528	Centers For Disease Control And Prevention	National Institute For Medical Research
125	EPI551621	Who Collaborating Centre For Reference And Research On Influenza	Research Institute Of Tropical Medicine
126	EPI513297	Centers For Disease Control And Prevention	New York State Department Of Health
127	EPI520402	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
128	EPI554898	Who Chinese National Influenza Center	Who Chinese National Influenza Center
129	EPI624887	National Institute Of Infectious Diseases (niid)	Hokkaido Institute Of Public Health
130	EPI649669	Centers For Disease Control And Prevention	National Institute Of Infectious Diseases (niid)
131	EPI562142	National Institute Of Infectious Diseases (niid)	Osaka City Institute Of Public Health And Environmental Sciences
132	EPI761848	Centers For Disease Control And Prevention	Texas Childrens Hospital
133	EPI688165	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
134	EPI955830	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
135	EPI861798	Centers For Disease Control And Prevention	Clinical Virology Unit, Cdim
136	EPI827158	Centers For Disease Control And Prevention	State Of Idaho Bureau Of Laboratories
137	EPI761959	Centers For Disease Control And Prevention	Nevada State Health Laboratory
138	EPI910643	Centers For Disease Control And Prevention	National Influenza Center
139	EPI910635	Centers For Disease Control And Prevention	National Influenza Center
140	EPI612287	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
141	EPI629674	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
142	EPI622010	Centers For Disease Control And Prevention	Csee
143	EPI575661	Centers For Disease Control And Prevention	Csee
144	EPI551092	Who Chinese National Influenza Center	Who Chinese National Influenza Center
145	EPI579366	Centers For Disease Control And Prevention	National Public Health Laboratory
146	EPI614462	Centers For Disease Control And Prevention	Who Collaborating Centre For Reference And Research On Influenza
147	EPI672426	Crick Worldwide Influenza Centre	Who Chinese National Influenza Center
148	EPI554739	Who Chinese National Influenza Center	Who Chinese National Influenza Center
149	EPI543540	Centers For Disease Control And Prevention	Stavanger Universitetssykehus, Avd. For Medisinsk Mikrobiologi
150	EPI551518	Who Collaborating Centre For Reference And Research On Influenza	Namru 2, Cambodia
151	EPI1106810	Nhs Greater Glasgow And Clyde	Nhs Greater Glasgow And Clyde
152	EPI634108	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
153	EPI565755	Centers For Disease Control And Prevention	Ethiopian Health And Nutrition Research Institute (ehnri)
154	EPI629582	Centers For Disease Control And Prevention	Us Namru 6
155	EPI1049544	Centers For Disease Control And Prevention	San Antonio Metropolitan Health
156	EPI1197165	Centers For Disease Control And Prevention	Indiana State Department Of Health Laboratories
157	EPI1504535	Who Chinese National Influenza Center	Kansas Department Of Health And Environment
158	EPI1667375	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
159	EPI1369143	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
160	EPI1686099	Centers For Disease Control And Prevention	Laboratorio De Referencia Nacional Virus Respiratorios, Instituto Nacional De Salud
161	EPI1702570	Centers For Disease Control And Prevention	Aichi Prefectural Institute Of Public Health
162	EPI1548622	Centers For Disease Control And Prevention	Rafic Hariri University Hospital 4th Floor Dna/research Lab
163	EPI1749644	National Institute Of Infectious Diseases (niid)	Aichi Prefectural Institute Of Public Health
164	EPI1740129	Who Collaborating Centre For Reference And Research On Influenza	Childrens Hospital Westmead
165	EPI1732227	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
166	EPI1666370	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
167	EPI462831	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
168	EPI484737	Centers For Disease Control And Prevention	Laboratorio Nacional De Influenza
169	EPI462839	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
170	EPI443712	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
171	EPI541131	Who Collaborating Centre For Reference And Research On Influenza	Institut Penyelidikan Perubatan
172	EPI529530	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
173	EPI529587	Who Collaborating Centre For Reference And Research On Influenza	Who National Influenza Centre, National Institute Of Medical Research (nimr)
174	EPI526757	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
175	EPI517111	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
176	EPI508639	Centers For Disease Control And Prevention	Montana Public Health Laboratory
177	EPI1107885	Centers For Disease Control And Prevention	Pennsylvania Department Of Health
178	EPI539871	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza
179	EPI533479	Centers For Disease Control And Prevention	Alaska State Virology Lab
180	EPI834581	Centers For Disease Control And Prevention	Crick Worldwide Influenza Centre
181	EPI1099754	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
182	EPI1179932	Centers For Disease Control And Prevention	Shaikh Khalifa Medical City
183	EPI1057816	National Institute Of Infectious Diseases (niid)	Sendai City Institute Of Public Health
184	EPI1026726	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
185	EPI1130171	Centers For Disease Control And Prevention	Ministry Of Health, Nihrd
186	EPI957266	Ministry Of Health, Singapore	Ministry Of Health, Singapore
187	EPI547814	Centers For Disease Control And Prevention	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
188	EPI626557	Centers For Disease Control And Prevention	National Influenza Reference Laboratory
189	EPI565694	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
190	EPI520356	Centers For Disease Control And Prevention	Nebraska Public Health Lab
191	EPI626549	Centers For Disease Control And Prevention	National Influenza Reference Laboratory
192	EPI626308	Centers For Disease Control And Prevention	National Influenza Reference Laboratory
193	EPI560699	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
194	EPI1736440	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
195	EPI551570	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
196	EPI551562	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza
197	EPI841441	Centers For Disease Control And Prevention	Michigan Department Of Community Health
198	EPI715417	Centers For Disease Control And Prevention	National Institute Of Virology
199	EPI715410	Centers For Disease Control And Prevention	National Institute Of Virology
200	EPI841221	Centers For Disease Control And Prevention	Inrb Service De Virologie
201	EPI712480	Centers For Disease Control And Prevention	National Institute For Communicable Disease
202	EPI662410	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
203	EPI643999	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
204	EPI702024	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
205	EPI701825	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
206	EPI670934	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
207	EPI711330	Centers For Disease Control And Prevention	National Public Health Laboratory
208	EPI706697	National Institute Of Infectious Diseases (niid)	Sapporo City Institute Of Public Health
209	EPI727337	Centers For Disease Control And Prevention	National Public Health Laboratory
210	EPI727326	Centers For Disease Control And Prevention	National Public Health Laboratory
211	EPI636070	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
212	EPI686143	Centers For Disease Control And Prevention	Nebraska Public Health Lab
213	EPI675792	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
214	EPI649580	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
215	EPI647932	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
216	EPI579796	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
217	EPI924824	Centers For Disease Control And Prevention	Cdc Kenya
218	EPI955822	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
219	EPI626943	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
220	EPI552913	Centers For Disease Control And Prevention	New Jersey Department Of Health & Senior Services
221	EPI706657	National Institute Of Infectious Diseases (niid)	Pasteur Institute, Influenza Laboratory
222	EPI875306	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
223	EPI709296	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
224	EPI643943	Centers For Disease Control And Prevention	Laboratory Directorate
225	EPI719114	Centers For Disease Control And Prevention	National Institute Of Infectious Diseases (niid)
226	EPI611225	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
227	EPI667773	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
228	EPI607841	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
229	EPI688637	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
230	EPI688862	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
231	EPI709256	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
232	EPI710233	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
233	EPI688855	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
234	EPI610547	National Institute Of Infectious Diseases (niid)	Yamagata Prefectural Institute Of Public Health
235	EPI649533	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
236	EPI688513	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
237	EPI767201	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
238	EPI642560	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control
239	EPI711059	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
240	EPI829834	Centers For Disease Control And Prevention	Inspi
241	EPI612018	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
242	EPI993898	Centers For Disease Control And Prevention	Ministry Of Health
243	EPI1180364	Centers For Disease Control And Prevention	Centre De Recherche Medicale Et Sanitaire (cermes)
244	EPI1042530	Centers For Disease Control And Prevention	Russian Academy Of Medical Sciences
245	EPI1039187	Centers For Disease Control And Prevention	California Department Of Health Services
246	EPI873202	National Institute Of Infectious Diseases (niid)	Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute
247	EPI874032	Ministry Of Health, Singapore	Ministry Of Health, Singapore
248	EPI1027102	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
249	EPI918367	Centers For Disease Control And Prevention	Maryland Department Of Health And Mental Hygiene
250	EPI1112412	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
251	EPI1024318	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
252	EPI943572	Centers For Disease Control And Prevention	State Research Center Of Virology And Biotechnology (vector)
253	EPI1016765	Centers For Disease Control And Prevention	National Influenza Lab
254	EPI1123935	Centers For Disease Control And Prevention	Ethiopian Public Health Institute, National Influenza Laboratory
255	EPI1141891	Centers For Disease Control And Prevention	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
256	EPI1039016	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
257	EPI1017112	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
258	EPI1048432	Centers For Disease Control And Prevention	National Influenza Center
259	EPI1603239	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
260	EPI918276	Centers For Disease Control And Prevention	Government Virus Unit
261	EPI1146053	Centers For Disease Control And Prevention	Institute National D'hygiene
262	EPI1079460	Centers For Disease Control And Prevention	Csee
263	EPI1079444	Centers For Disease Control And Prevention	Csee
264	EPI1388237	Ministry Of Health, Singapore	Ministry Of Health, Singapore
265	EPI1359095	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
266	EPI1359126	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
267	EPI1057896	National Institute Of Infectious Diseases (niid)	Niigata Prefectural Institute Of Public Health And Environmental Sciences
268	EPI1239834	Centers For Disease Control And Prevention	Government Virus Unit
269	EPI1107060	Centers For Disease Control And Prevention	Government Virus Unit
270	EPI1163464	Centers For Disease Control And Prevention	Saitama Institute Of Public Health
271	EPI1318893	State Research Center Of Virology And Biotechnology (vector)	State Research Center Of Virology And Biotechnology (vector)
272	EPI1277585	Centers For Disease Control And Prevention	Inrb Service De Virologie
273	EPI1407358	Centers For Disease Control And Prevention	Inrb Service De Virologie
274	EPI1269126	Centers For Disease Control And Prevention	Inrb Service De Virologie
275	EPI718980	Centers For Disease Control And Prevention	Government Virus Unit
276	EPI624328	Centers For Disease Control And Prevention	Wisconsin State Laboratory Of Hygiene
277	EPI676528	Crick Worldwide Influenza Centre	Microbiology Services Colindale, Public Health England
278	EPI667825	Centers For Disease Control And Prevention	National Influenza Center
279	EPI814373	Centers For Disease Control And Prevention	Us Namru 6
280	EPI695562	Centers For Disease Control And Prevention	Us Namru 6
281	EPI993996	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
282	EPI976520	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
283	EPI857526	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
284	EPI672293	National Institute Of Infectious Diseases (niid)	Kawasaki City Institute Of Public Health 
285	EPI672441	Crick Worldwide Influenza Centre	Who Chinese National Influenza Center
286	EPI676149	Who Collaborating Centre For Reference And Research On Influenza	Laboratorio De Saude Publico
287	EPI719036	Centers For Disease Control And Prevention	National Institute Of Infectious Diseases (niid)
288	EPI710464	Centers For Disease Control And Prevention	Adimmune Corporation
289	EPI715346	Centers For Disease Control And Prevention	National Institute Of Health
290	EPI715402	Centers For Disease Control And Prevention	National Institute Of Health
291	EPI765128	Who Collaborating Centre For Reference And Research On Influenza	National Centre For Scientific Services For Virology  And Vector Borne Diseases
292	EPI677218	Centers For Disease Control And Prevention	Alaska State Virology Lab
293	EPI768399	Centers For Disease Control And Prevention	Montana Laboratory Services Bureau
294	EPI730273	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
295	EPI688267	Centers For Disease Control And Prevention	Csee
296	EPI701745	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
297	EPI775464	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
298	EPI679143	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
299	EPI956962	Who Collaborating Centre For Reference And Research On Influenza	National Centre For Scientific Services For Virology  And Vector Borne Diseases
300	EPI827121	National Institute Of Infectious Diseases (niid)	Center For Disease Control
301	EPI775593	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
302	EPI836531	Centers For Disease Control And Prevention	National Institute Of Virology
303	EPI836491	Centers For Disease Control And Prevention	Government Virus Unit
304	EPI897091	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
305	EPI854236	National Institute Of Infectious Diseases (niid)	Kawasaki City Institute Of Public Health 
306	EPI1047574	Centers For Disease Control And Prevention	Washington State Public Health Laboratory
307	EPI1058397	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
308	EPI1058221	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
309	EPI983901	Other Database Import	North Carolina State Laboratory Of Public Health
310	EPI1340569	Who Chinese National Influenza Center	Who Chinese National Influenza Center
311	EPI1182959	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
312	EPI950917	Other Database Import	Nebraska Public Health Lab
313	EPI1174591	Centers For Disease Control And Prevention	Us Namru 6
314	EPI1204774	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
315	EPI1280711	Who National Influenza Centre Russian Federation	Ivanovsky Research Institute Of Virology Rams
316	EPI1256548	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
317	EPI1489845	Who National Influenza Centre Russian Federation	Center Of Hygiene And Epidemiology In Yamalo Nenets Autonomous Okrug
318	EPI1112244	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
319	EPI1326015	Centers For Disease Control And Prevention	Hopital Cantonal Universitaire De Geneves
320	EPI1059866	Centers For Disease Control And Prevention	Instituto Nacional De Enfermedades Infecciosas
321	EPI1087624	Institut Pasteur	Institut Pasteur
322	EPI1142574	Centers For Disease Control And Prevention	Institute For Biomedical Sciences
323	EPI1256391	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
324	EPI1358961	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
325	EPI1440431	Instituto De Salud Publica De Chile	Instituto De Salud Publica De Chile
326	EPI1205544	Centers For Disease Control And Prevention	New Mexico Department Of Health
327	EPI1240129	Centers For Disease Control And Prevention	National Institute Of Health
